title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
1 pc brosse de cuir chevelu lavage tête de cheveux masseur shampooing brosses pour douche Massage brosse à cheveux fytrading,1pc Scalp Brush Washing Hair Head Massager Shampoo Brushes For Shower Massage Hairbrush fytrading,3.22,EUR,10.0,EUR,3.87,10,,,4.345454545454546,55.0,34,11,7,1,2,,,,,,,1pc(randomcolor),50,Livraison standard,1.0,false,,50,,,CN,FY Trading,fytrading,"89 % avis positifs (10,650 notes)",10650,4.239342723004695,541f801f9719cd3d428a484f,,,https://www.wish.com/c/5e719670d90e2a2c8cc22f53,https://canary.contestimg.wish.com/api/webimage/5e719670d90e2a2c8cc22f53-medium.jpg,5e719670d90e2a2c8cc22f53
Washable Dirty Clothes Organizer Nylon Laundry Bag Wash Me Travel Storage Pouch Folding Bags Wash Drawstring Bag,Washable Dirty Clothes Organizer Nylon Laundry Bag Wash Me Travel Storage Pouch Folding Bags Wash Drawstring Bag,13.0,EUR,13.0,EUR,15.0,2,,,5.0,0.0,,,,,,,,,,,blue,,50,Livraison standard,0.0,false,,50,true,Quantité limitée !,CA,Loom,loom,(403 notes),403,4.054590570719603,60108516d38ac0468d48a860,,,https://www.wish.com/c/601ab5a0cd0f31ef574429c8,https://canary.contestimg.wish.com/api/webimage/601ab5a0cd0f31ef574429c8-medium.jpg,601ab5a0cd0f31ef574429c8
Paris Hilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e542cfc9719ed19e848486f,,5e542cfc9719ed19e848486f
CHINA Portable wasub travel large capacity washbasin washing machine tools_38797687,CHINA Portable wasub travel large capacity washbasin washing machine tools_38797687,246.0,EUR,246.0,EUR,295.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,a1[193],50,Livraison standard,12.0,false,,50,true,Quantité limitée !,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/605d6c1a43215e83677c0e12,https://canary.contestimg.wish.com/api/webimage/605d6c1a43215e83677c0e12-medium.jpg,605d6c1a43215e83677c0e12
Roc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ea19dcf9719ed76a9b68d6d,,5ea19dcf9719ed76a9b68d6d
3 / 6Pcs Boule de blanchisserie magique Poils d'animaux de compagnie Supprimer pour Machine à laver Boules Lint Catcher,3/6Pcs Magic Laundry Ball Pet Hair Remove For Washing Machine Balls Lint Catcher,3.19,EUR,7.0,EUR,3.83,1000,,,3.6728971962616823,107.0,52,16,11,8,20,,,,,,,3pcs,50,Livraison standard,1.0,false,,50,,,CN,ZHONGLIZHUBAO,dufan,"(4,438 notes)",4438,4.253492564218116,5ae6b9aaddf45b1b4d33ab2e,,,https://www.wish.com/c/5e6a189862bc6e6990da8698,https://canary.contestimg.wish.com/api/webimage/5e6a189862bc6e6990da8698-medium.jpg,5e6a189862bc6e6990da8698
1 pièces extensible jet d'eau haute pression puissance pistolet à eau rondelle jardin pulvérisateur d'eau voiture outils de lavage,1 Pcs Extendable Water Jet High Pressure Power Water Gun Washer Garden Water Sprayer Car Washing Tools,10.0,EUR,10.0,EUR,12,10,,,4.666666666666667,3.0,2,1,0,0,0,,,,,,yellow,size46.5cm,50,Livraison standard,3.0,false,,50,,,CN,LWEIBIN,lweibin,(442 notes),442,4.395927601809955,5ee1d3afeffe61116b6b29cd,,,https://www.wish.com/c/5ef05a54395d8701d11fec15,https://canary.contestimg.wish.com/api/webimage/5ef05a54395d8701d11fec15-medium.jpg,5ef05a54395d8701d11fec15
 lavage à l'eau gaze serviette salive bébé triangle écharpe bébé bavoir bavoir mère bébé produit, water wash gauze saliva towel baby triangle scarf Baby Bib Bib Bib mother baby product,3.09,EUR,7.0,EUR,3.71,1000,,,4.181818181818182,154.0,94,23,18,9,10,,,,,,,mixcolor,50,Livraison standard,1.0,false,,50,,,CN,yuyongle,yuyongle,(141 notes),141,4.26241134751773,5df73b18e9b56e06eed72619,,,https://www.wish.com/c/5e50a803883c9b2b06eead22,https://canary.contestimg.wish.com/api/webimage/5e50a803883c9b2b06eead22-medium.jpg,5e50a803883c9b2b06eead22
2/5/10/20/30 pcs Vert / Bleu / Rose / Café Microfibre Propre Auto Voiture Détail Doux Microfibre Chiffons Serviettes Lavage Duster Pour La Cuisine À Domicile Outil De Nettoyage,2/5/10/20/30 pcs Green/Blue/Pink/Coffee Microfiber Clean Auto Car Detail Soft Microfiber Cloths towels Wash Duster For Home Kitchen Cleaning Tool,7.0,EUR,7.0,EUR,8,10,,,3.4324324324324325,37.0,14,8,4,2,9,,,,,,pink,30pcs,50,Livraison standard,3.0,false,,50,,,CN,lifhs,lifhs,"(3,115 notes)",3115,3.945104333868379,5dc922d4ff832c756e9ba527,,,https://www.wish.com/c/5e72ed5ce7b0e31e8228aa98,https://canary.contestimg.wish.com/api/webimage/5e72ed5ce7b0e31e8228aa98-medium.jpg,5e72ed5ce7b0e31e8228aa98
"Kadanuri microfiber large double-sided car wash towel, 2ea","Kadanuri microfiber large double-sided car wash towel, 2ea",95.0,EUR,95.0,EUR,114.0,0,,,5.0,0.0,,,,,,,,,,,,,21,Livraison standard,12.0,false,,21,,,KR,KoreanOasis,koreanoasis,100 % avis positifs (4 notes),4,5.0,601a4fde2dfa3d21b8cc2d66,,,https://www.wish.com/c/601d659a782584bc71da8055,https://canary.contestimg.wish.com/api/webimage/601d659a782584bc71da8055-medium.jpg,601d659a782584bc71da8055
