title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Été mince pantalon grande taille affaires femmes formelles pantalon slim femme vêtements de travail bureau dame carrière plus la taille taille haute pantalon,Summer Thin Pants Plus Size business Formal women trousers slim female work wear Office Lady career plus size high waist pants,12.0,CHF,55.0,CHF,13,10,,,4.129032258064516,31.0,17,6,5,1,2,,,,,,red,xl,50,Livraison standard,3.0,false,,50,,,CN,yibeixingdianzishangwushangxing,易贝兴电子商务商行,"(6,306 notes)",6306,4.21487472248652,5435f40a90c776260392d2c5,,,https://www.wish.com/c/5d4cd3a3ed0a1b76392f6476,https://canary.contestimg.wish.com/api/webimage/5d4cd3a3ed0a1b76392f6476-medium.jpg,5d4cd3a3ed0a1b76392f6476
2021 Men Kawasaki Sports Casual Wear Zipper Fashion Tide Jacquard Hoodies Printed Vespa Fleece Jacket Fall Sweatshirts Autumn Winter S-4XL,2021 Men Kawasaki Sports Casual Wear Zipper Fashion Tide Jacquard Hoodies Printed Vespa Fleece Jacket Fall Sweatshirts Autumn Winter S-4XL,9.0,CHF,9.0,CHF,9,10,,,3.0,1.0,0,0,1,0,0,,,,,,grey,s,44,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,mawenru646,mawenru646,(538 Bewertungen),538,4.055762081784387,5e686e632fb13f0b010b6cd0,,,https://www.wish.com/c/604afe24dc65dfced57a63f9,https://canary.contestimg.wish.com/api/webimage/604afe24dc65dfced57a63f9-medium.jpg,604afe24dc65dfced57a63f9
1 PCS Mulheres Vital Sem Costura Conjunto de Yoga Treino Esporte Desgaste Roupas de Ginástica Curto / Manga Longa Top Colheita Sutiã de Cintura Alta Leggings Terno de Esportes,1PCS Women Vital Seamless Yoga Set Workout Sport Wear Gym Clothing Short/Long Sleeve Crop Top Bra High Waist Leggings Sports Suit,10.0,CHF,20.0,CHF,11,10,,,2.111111111111111,9.0,2,0,1,0,6,,,,,,black,bras,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,WisneyFuture,左右,"(4,206 avaliações)",4206,4.418212077983832,55dbc59e5ec42a10560a649b,,,https://www.wish.com/c/5ee0dcb817c599022f835fae,https://canary.contestimg.wish.com/api/webimage/5ee0dcb817c599022f835fae-medium.jpg,5ee0dcb817c599022f835fae
2020 hommes BMC vêtements de vélo respirant été ensemble de vêtements de cyclisme à séchage rapide VTT cyclisme porter bavoir Gel coussin vêtements de cyclisme,2020 Men's BMC Bicycle Clothing Breathable Summer Cycling Wear Set Quick-drying Mountain Bike Cycling Wear Bib Gel Cushion Cycling Wear,23.0,CHF,272.0,CHF,25,10,,,5.0,0.0,,,,,,,,,,,red,s,50,Livraison standard,7.0,false,,50,,,CN,vcjkvgcvg,vcjkvgcvg,85 % avis positifs (47 notes),47,3.9361702127659575,5f421a20dd315e19ecb319a1,,,https://www.wish.com/c/5f4c60aa94b27155e38f9877,https://canary.contestimg.wish.com/api/webimage/5f4c60aa94b27155e38f9877-medium.jpg,5f4c60aa94b27155e38f9877
Sexy Men Bademode Herren Badeanzüge Surfbrett Beach Wear Badehose Boxershorts 5 Farben,Sexy Men Swimwear Men's Swimsuits Surf Board Beach Wear Swimming Trunks Boxer Shorts 5 Colors,6.0,CHF,6.0,CHF,6,1000,,,3.8450704225352115,71.0,33,15,10,5,8,,,,,,white,s,50,Livraison standard,2.0,false,,50,,,CN,sdaeghj,sdaeghj,"89% Positives Feedback (2,757 Bewertungen)",2757,4.210736307580704,5aceb37c22fad770ca4b4956,,,https://www.wish.com/c/5ecdf987b8669c2a2cec6dc6,https://canary.contestimg.wish.com/api/webimage/5ecdf987b8669c2a2cec6dc6-medium.jpg,5ecdf987b8669c2a2cec6dc6
Femmes sans couture Yoga Shorts taille haute bout à bout sport collants Squat preuve Gym entraînement Fitness vêtements actifs Leggings Shorts,Women Seamless Yoga Shorts High Waist Butt Lifting Sports Tights Squat Proof Gym Workout Fitness Active Wear Leggings Shorts,5.25,CHF,7.0,CHF,5.78,10,,,5.0,3.0,3,0,0,0,0,,,,,,yellow,xxs,50,Livraison standard,2.0,false,,50,,,CN,Dreampossible,dreampossible,"89 % avis positifs (15,039 notes)",15039,4.205532282731564,5ad9eefab722cf73f6c047b1,,,https://www.wish.com/c/5f071a1472df1a5ba3809e72,https://canary.contestimg.wish.com/api/webimage/5f071a1472df1a5ba3809e72-medium.jpg,5f071a1472df1a5ba3809e72
2019 Vendaje de verano para mujer Push Up Bikini Ropa de playa Trajes de baño Trajes de baño Traje de baño,2019 Women's Summer Bandage Push Up Bikini Beach Wear SwimSuits Swimwear Bathing Suit,8.0,CHF,10.0,CHF,8,1000,,,4.051020408163265,490.0,258,97,76,20,39,,,,,,red,xs,50,Livraison standard,2.0,false,,50,,,CN,The swimsuit store,theswimsuitstore,90% retroalimentación positiva (818 calificaciones),818,4.254278728606357,5b5fdb63106a6f2e2d1a8c64,,,https://www.wish.com/c/5c39b2f4eb0b88476bd17318,https://canary.contestimg.wish.com/api/webimage/5c39b2f4eb0b88476bd17318-medium.jpg,5c39b2f4eb0b88476bd17318
NBA (National Basketball Association),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d2fdf9719ed64049676f2,,5e8d2fdf9719ed64049676f2
2020 été Bikini ensemble maillots de bain femmes solide Sexy plage porter taille basse Biquini Badpak Dames Bikini ensemble,2020 Summer Bikini Set Swimwear Women Solid Sexy Beach Wear Low Waist Biquini Badpak Dames Bikini Set,25.0,CHF,25.0,CHF,27,1,,,5.0,0.0,,,,,,,,,,,black,l,50,Livraison standard,13.0,false,,50,,,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/60119851a53c5d003f54072b,https://canary.contestimg.wish.com/api/webimage/60119851a53c5d003f54072b-medium.jpg,60119851a53c5d003f54072b
2021 Herbstbär Palme Männer Casual Logo Langarm Hoodies Männlich Loose Street Wear 4 Farben Hoodies,2021 Autumn Bear Palm Men Casual Logo Long Sleeve Hoodies Male Loose Street Wear 4 Colors Hoodies,24.0,CHF,24.0,CHF,26,10,,,3.7222222222222223,36.0,19,5,2,3,7,,,,,,red,xxs,1,Livraison standard,7.0,false,,50,true,Quantité limitée !,CN,WANGTINGTINGWW,wangtingtingww,76% Positives Feedback (324 Bewertungen),324,3.675925925925926,5dd900e21fead208585e3f47,,,https://www.wish.com/c/5f4c95f4a00d965fa8eaa8e6,https://canary.contestimg.wish.com/api/webimage/5f4c95f4a00d965fa8eaa8e6-medium.jpg,5f4c95f4a00d965fa8eaa8e6
