title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
MD Organics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f36a087eb31f9893266984c,,5f36a087eb31f9893266984c
EZ Super Energy Slim Natural Weight Loss Supplement Dietary Pill for Fat Removal Pills Dietary Supplements and Metabolism Booster 90 Vegetarian Capsules,EZ Super Energy Slim Natural Weight Loss Supplement Dietary Pill for Fat Removal Pills Dietary Supplements and Metabolism Booster 90 Vegetarian Capsules,152.0,CHF,152.0,CHF,167.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,rehobot,rehobot,100 % avis positifs (5 notes),5,4.8,5f8864ab13bbf3e51c64df1a,,,https://www.wish.com/c/60628e07632477620ffb3efc,https://canary.contestimg.wish.com/api/webimage/60628e07632477620ffb3efc-medium.jpg,60628e07632477620ffb3efc
| NO Gel Pads Better Experience | Muscle Abdominal Trainer Body Slimming Belt EMS Abdominal Waist Support Fat Burning Weight Loss,|NO Gel Pads Better Experience| Muscle Abdominal Trainer Body Slimming Belt EMS Abdominal Waist Support Fat Burning Weight Loss,13.0,CHF,13.0,CHF,14,10,,,3.9838709677419355,62.0,36,7,9,2,8,,,,,,black,onlybeltwithoutmainunit,4,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,nzyyouth0104,nzyyouth0104,"90 % avis positifs (4,760 notes)",4760,4.262815126050421,5a604938dc7a91048ebb4073,,,https://www.wish.com/c/5dec8c6c99f9df25ca536693,https://canary.contestimg.wish.com/api/webimage/5dec8c6c99f9df25ca536693-medium.jpg,5dec8c6c99f9df25ca536693
"Keto Ultra – Powerful Keto Diet Pills –– Supports Weight Loss, Fat Burn, Energy & Focus – Built for The Keto Diet – Great for Keto Beginners – 1 Month – Made in The USA","Keto Ultra – Powerful Keto Diet Pills –– Supports Weight Loss, Fat Burn, Energy & Focus – Built for The Keto Diet – Great for Keto Beginners – 1 Month – Made in The USA",64.0,CHF,64.0,CHF,70.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,rehobot,rehobot,100 % avis positifs (5 notes),5,4.8,5f8864ab13bbf3e51c64df1a,,,https://www.wish.com/c/60628f715365c57162db882f,https://canary.contestimg.wish.com/api/webimage/60628f715365c57162db882f-medium.jpg,60628f715365c57162db882f
"2021 Special weight loss, it will promote new morning and evening weight loss tea, detox tea, appetite suppression, reduce abdominal distension and constipation, and natural tea polyphenols to clean the body in 113 countries/regions","2021 Special weight loss, it will promote new morning and evening weight loss tea, detox tea, appetite suppression, reduce abdominal distension and constipation, and natural tea polyphenols to clean the body in 113 countries/regions",2.5,CHF,3.0,CHF,2.75,10,,,4.666666666666667,6.0,4,2,0,0,0,,,,,,white,10daysmorning,50,Livraison standard,1,false,,50,,,CN,yujun464325,yujun464325,100 % avis positifs (7 notes),7,4.714285714285714,603b3c8ef82e6663fd6c25cc,,,https://www.wish.com/c/60430b6ff40eefa3459e0be4,https://canary.contestimg.wish.com/api/webimage/60430b6ff40eefa3459e0be4-medium.jpg,60430b6ff40eefa3459e0be4
2020 New Neopren Sweat Waist Trainer Korsett Trimmer Gürtel für Frauen Weight Loss Waist Shaper Slimmer Korsett XXS-5XL,2020 New Neoprene Sweat Waist Trainer Corset Trimmer Belt for Women Weight Loss Waist Shaper Slimmer Corset XXS-5XL,3.51,CHF,23.0,CHF,3.86,10,,,4.25,12.0,8,0,3,1,0,,,,,,blue,xxs.,9,Livraison standard,1.0,false,,50,true,Quantité limitée !,CN,fashion human sport store,no1valuestore,"(2,620 Bewertungen)",2620,3.950381679389313,5cc2ef1476f653730b8f040c,,,https://www.wish.com/c/5f1e48fb15cdf37c8443ac5d,https://canary.contestimg.wish.com/api/webimage/5f1e48fb15cdf37c8443ac5d-medium.jpg,5f1e48fb15cdf37c8443ac5d
500/400/300/200/100/50/2Pcs Detox Foot Patch Improve Sleep Slimming Foot Care Feet Stickers Weight Loss Products Effective Anti Cellulite Fat Burning (patches+Adhersives),500/400/300/200/100/50/2Pcs Detox Foot Patch Improve Sleep Slimming Foot Care Feet Stickers Weight Loss Products Effective Anti Cellulite Fat Burning (patches+Adhersives),5.13,CHF,63.0,CHF,5.65,10,,,4.25,4.0,2,1,1,0,0,,,,,,,2pcs(1pcspatchesand1pcsadhersives),50,Livraison standard,2.0,false,,50,,,CN,makeup univeral 2019,makeupuniveral2019,"83% Positives Feedback (2,948 Bewertungen)",2948,3.9545454545454546,5d4e891f3db43e31bc7edf2a,,,https://www.wish.com/c/605aa10e4acbeca4802c68fe,https://canary.contestimg.wish.com/api/webimage/605aa10e4acbeca4802c68fe-medium.jpg,605aa10e4acbeca4802c68fe
50 pcs Gel Pads pour EMS Abdominale ABS Formateur Perte de Poids Hip Muscle Stimulateur Exerciseur Remplacement Masseur Gel Patch,50 pcs Gel Pads for EMS Abdominal ABS Trainer Weight Loss Hip Muscle Stimulator Exerciser Replacement Massager Gel Patch,5.0,CHF,5.0,CHF,5,1000,,,4.347976878612717,865.0,530,191,94,15,35,,,,,,,10pcs,50,Livraison standard,1.0,false,,50,,,CN,SLian9198,slian9198,"93 % avis positifs (1,664 notes)",1664,4.362980769230769,5de8761c29e7866b7e9eb673,,,https://www.wish.com/c/5e6b588e51ee5362386a0778,https://canary.contestimg.wish.com/api/webimage/5e6b588e51ee5362386a0778-medium.jpg,5e6b588e51ee5362386a0778
500/400/300/200/100/50 Stück Frauen Männer Gewichtsverlust Abnehmen Diäten Chinesische Medizin Schlanke Patch Pads Detox Klebeblatt Gewichtsverlust,500/400/300/200/100/50pcs Women Men Weight Loss Slimming Diets Chinese Medicine Slim Patch Pads Detox Adhesive Sheet Lost Weight,3.46,CHF,4.0,CHF,3.81,1000,,,3.9201183431952664,676.0,347,115,102,37,75,,,,,,,100pcs,50,Livraison standard,1.0,false,,50,,,CN,My Jewelry's Home,myjewelryshome,"93% Positives Feedback (19,290 Bewertungen)",19290,4.351321928460342,58c7d536e1f4685094800bb4,,,https://www.wish.com/c/5f1ab0ff63394c2bb424d930,https://canary.contestimg.wish.com/api/webimage/5f1ab0ff63394c2bb424d930-medium.jpg,5f1ab0ff63394c2bb424d930
Gingembre corps ventre crème minceur graisse brûlante perte de poids Anti-cellulite naturel pur gel minceur,Ginger Body Belly Slimming Cream Fat Burning Weight Loss Anti-cellulite natural pure slimming gel,3.63,CHF,4.0,CHF,4.0,10,,,2.3333333333333335,3.0,1,0,0,0,2,,,,,,,30gslimming,50,Livraison standard,1.0,false,,50,,,US,gratte,gratte,85 % avis positifs (13 notes),13,4.384615384615385,5fd1cde44b35fb74c3b25466,,,https://www.wish.com/c/6040e784819f0fa00918edc5,https://canary.contestimg.wish.com/api/webimage/6040e784819f0fa00918edc5-medium.jpg,6040e784819f0fa00918edc5
"Weight Loss Chart, 1-4 Stone laminated sheet with stickers, Diet Reward Chart, Weight loss motivation, Slimming World, Weight Watchers, Flowers","Weight Loss Chart, 1-4 Stone laminated sheet with stickers, Diet Reward Chart, Weight loss motivation, Slimming World, Weight Watchers, Flowers",61.0,CHF,80.0,CHF,66.99,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,19.99,false,,3,,,GB,Giftenza,giftenza,79 % avis positifs (336 notes),336,3.8660714285714284,5e778af629e7865cfc55bd63,,,https://www.wish.com/c/604f8e0ad02508f4137a298c,https://canary.contestimg.wish.com/api/webimage/604f8e0ad02508f4137a298c-medium.jpg,604f8e0ad02508f4137a298c
2 pièces / 1 paire bras manches femmes bras Shaper perte de poids bras mince calories hors graisse Buster plus mince ceinture enveloppante,2Pcs/1Pair Arm Sleeves  Women Arm Shaper Weight Loss Thin Arm Calorie Off Fat Buster Slimmer Wrap Belt,2.53,CHF,5.0,CHF,2.7800000000000002,10,,,3.3333333333333335,12.0,3,4,1,2,2,,,,,,nude,1pc-single,10,Livraison standard,1,false,,50,true,Quantité limitée !,US,Deborah Mccoy,deborahmccoy,"73 % avis positifs (1,739 notes)",1739,3.6428982173663025,5e929a2146be6a4515df1e0e,,,https://www.wish.com/c/5ffc2106a19313c23a0d6cad,https://canary.contestimg.wish.com/api/webimage/5ffc2106a19313c23a0d6cad-medium.jpg,5ffc2106a19313c23a0d6cad
1/510 pièces / sac Patch de pied de gingembre Anti-gonflement patchs de pied de désintoxication tampons améliorent la qualité du sommeil perte de poids Patch minceur soins de santé,1/510Pcs/bag Anti-Swelling Ginger Foot Patch Detox Foot Patches Pads Improve Sleep Quality Weight Loss Slimming Patch Health Care,3.51,CHF,4.0,CHF,3.86,10,,,3.0,5.0,1,2,0,0,2,,,,,,,1pcs/bag,50,Livraison standard,1.0,false,,50,,,CN,UNDPL,undpl,72 % avis positifs (152 notes),152,3.6447368421052633,5ea7aa2f29bcb31344ea123a,,,https://www.wish.com/c/5fe9702787439b00483520d4,https://canary.contestimg.wish.com/api/webimage/5fe9702787439b00483520d4-medium.jpg,5fe9702787439b00483520d4
"Blue Star Blade and Status Bundle for Men: Supplément de perte de poids Booster de métabolisme le plus puissant et pilules de rappel de testostérone pour soutenir la perte de poids, la masse musculaire maigre et les gains de force","Blue Star Blade and Status Bundle for Men: Strongest Metabolism Booster Weight Loss Supplement and Testosterone Booster Pills to Support Weight Loss, Lean Muscle Mass and Strength Gains",299.0,CHF,299.0,CHF,328.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,gatigajayo,gatigajayo,50 % avis positifs (2 notes),2,3.0,600ac56fd11c89bf806c1304,,,https://www.wish.com/c/601b6e3d368d2e72d33c4195,https://canary.contestimg.wish.com/api/webimage/601b6e3d368d2e72d33c4195-medium.jpg,601b6e3d368d2e72d33c4195
Green Tea Extract Double Pack 200 Tablets 1000mg Diet / Weight Loss,Green Tea Extract Double Pack 200 Tablets 1000mg Diet / Weight Loss,16.0,CHF,16.0,CHF,17.4,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.06,false,,50,true,Quantité limitée !,GB,fast_track_health,fast_track_health,100 % avis positifs (16 notes),16,4.8125,5bbe2b033077fe4246d79639,,,https://www.wish.com/c/6025bcea07d1bc00569edadc,https://canary.contestimg.wish.com/api/webimage/6025bcea07d1bc00569edadc-medium.jpg,6025bcea07d1bc00569edadc
20/50/100/200 pièces Patch de désintoxication des pieds au gingembre Anti-gonflement patchs de pied tampons améliorent la qualité du sommeil perte de poids Patch minceur soins de santé,20/50/100/200pcs Anti-Swelling Ginger Foot Detox Patch Foot Patches Pads Improve Sleep Quality Weight Loss Slimming Patch Health Care,7.0,CHF,63.0,CHF,7,10,,,3.3636363636363638,55.0,25,8,3,0,19,,,,,,,20pcs,50,Livraison standard,2.0,false,,50,,,CN,makeup univeral 2019,makeupuniveral2019,"83 % avis positifs (2,948 notes)",2948,3.9545454545454546,5d4e891f3db43e31bc7edf2a,,,https://www.wish.com/c/5f34fe85594419004bfd87d0,https://canary.contestimg.wish.com/api/webimage/5f34fe85594419004bfd87d0-medium.jpg,5f34fe85594419004bfd87d0
Pilules de perte de poids pour femmes et hommes | Hydroxycut Black | Supplément de perte de poids | Pilules énergétiques pour perdre du poids | Booster de métabolisme pour perdre du poids | Perte de poids et suppléments énergétiques | 60 pilules,Weight Loss Pills for Women & Men | Hydroxycut Black | Weight Loss Supplement Pills | Energy Pills to Lose Weight | Metabolism Booster for Weight Loss | Weightloss & Energy Supplements | 60 Pills,80.0,CHF,80.0,CHF,87.0,0,,,5.0,0.0,,,,,,,,,,,,,3,Livraison standard,12.0,false,,3,,,KR,rehobot,rehobot,100 % avis positifs (5 notes),5,4.8,5f8864ab13bbf3e51c64df1a,,,https://www.wish.com/c/60628eeb0355b16ce72b6c05,https://canary.contestimg.wish.com/api/webimage/60628eeb0355b16ce72b6c05-medium.jpg,60628eeb0355b16ce72b6c05
50/100/150 / 200pcs FASHION Traditionelle Chinesische Medizin Fettverbrennung Gewichtsverlust Slim Patch für Männer Frauen,50/100/150/200pcs FASHION Traditional Chinese Medicine Burning Fat Weight Loss Slim Patch for Men Women,3.63,CHF,4.0,CHF,4.0,1000,,,3.9966216216216215,296.0,157,55,38,18,28,,,,,,,50pcs,50,Livraison standard,1.0,false,,50,,,US,OnthisdefensexS,onthisdefensexs,87% Positives Feedback (453 Bewertungen),453,4.181015452538631,5f5010a7bfc92cc4260e79af,,,https://www.wish.com/c/5f805a700d9190204531a6fc,https://canary.contestimg.wish.com/api/webimage/5f805a700d9190204531a6fc-medium.jpg,5f805a700d9190204531a6fc
"60/40/20/10 Tea Bags fruit Tea, Gentle Diet Detox Tea, Teatox and Appetite Suppressant, Reduce Bloating and Constipation for Weight Loss, 100% Natural Body Cleanse for Women and Men","60/40/20/10 Tea Bags fruit Tea, Gentle Diet Detox Tea, Teatox and Appetite Suppressant, Reduce Bloating and Constipation for Weight Loss, 100% Natural Body Cleanse for Women and Men",1.0,CHF,19.0,CHF,1,1000,,,4.3074324324324325,592.0,361,117,74,15,25,,,,,,,10days,50,Livraison standard,1,false,,50,,,CN,hgfkj11,hgfkj11,"92% Positive Feedback (6,617 ratings)",6617,4.324316155357413,5be64c87bc1d0b7d1d50de4d,,,https://www.wish.com/c/5d29f4dd73ebba7c4fb5a864,https://canary.contestimg.wish.com/api/webimage/5d29f4dd73ebba7c4fb5a864-medium.jpg,5d29f4dd73ebba7c4fb5a864
Eucerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eaaefda9719ed25a17f44aa,,5eaaefda9719ed25a17f44aa
Christian Dior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e542cf89719ed19e848483c,,5e542cf89719ed19e848483c
S-5XL nouvelle mode féminine sous-vêtements de perte de poids forme taille haute sous-vêtements abdomen contrôle hanche ascenseur complet hanche élastique Shaper Shorts grande taille,S-5XL New Women's Fashion Weight-loss Underwear Shape High Waist Underwear Abdomen Control Hip Lift Full Hip Elastic Shaper Shorts Plus Size,15.0,CHF,15.0,CHF,16,10,,,3.0,18.0,7,2,1,0,8,,,,,,beige,s,50,Livraison standard,4.0,false,,50,,,CN,ymqwas111,ymqwas111,"89 % avis positifs (2,186 notes)",2186,4.193046660567246,5d4653a376befe51de1dd051,,,https://www.wish.com/c/5f4c93ffcdbee8667c704606,https://canary.contestimg.wish.com/api/webimage/5f4c93ffcdbee8667c704606-medium.jpg,5f4c93ffcdbee8667c704606
Quick determination microbial diet【sokusen sokketu diet bacteria】from japan Burning Slimming diet  Weight Heat Effective Loss japan diet supplement,Quick determination microbial diet【sokusen sokketu diet bacteria】from japan Burning Slimming diet  Weight Heat Effective Loss japan diet supplement,56.0,CHF,56.0,CHF,61.0,2,,,1.0,1.0,0,0,0,0,1,,,,,,,,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,JP,japan life,japanlife,94 % avis positifs (35 notes),35,4.4,5ef449a0ca15880dc06975e9,,,https://www.wish.com/c/5efd52b52218986597dacd7a,https://canary.contestimg.wish.com/api/webimage/5efd52b52218986597dacd7a-medium.jpg,5efd52b52218986597dacd7a
2021 femmes hommes taille formateur sweat gilet amincissant chemise sauna débardeur pour la perte de poids,2021 Women Men Waist Trainer Sweat Vest Slimming Shirt Sauna Tank Top for Weight Loss,2.6,CHF,3.0,CHF,2.86,10,,,3.642857142857143,14.0,7,1,2,2,2,,,,,,black,xxs-forkid,1,Livraison standard,1,false,,50,,,CN,feie258904@163.com,feie258904163com,"89 % avis positifs (1,688 notes)",1688,4.238151658767772,58d8df82d61aa056087d4767,,,https://www.wish.com/c/601b9b160a793845b410f5e5,https://canary.contestimg.wish.com/api/webimage/601b9b160a793845b410f5e5-medium.jpg,601b9b160a793845b410f5e5
Gilet de Sauna en néoprène de sueur chaude pour femmes pour la perte de poids ventre brûleur de graisse minceur Shapewear chaud Thermo Body Shaper Sweat Top Shaper,Women Hot Sweat Neoprene Sauna Vest for Weight Loss Tummy Fat Burner Slimming Shapewear Hot Thermo Body Shaper Sweat Top Shaper,4.0,CHF,90.0,CHF,4,10,,,5.0,0.0,,,,,,,,,,,black&yellow,xxs--lowquality,1,Livraison standard,1.0,false,,50,,,CN,zuogang652152,zuogang652152,72 % avis positifs (183 notes),183,3.6174863387978142,5f923645b9c87ef90cb04df5,,,https://www.wish.com/c/5ffbf93e2620f02a1a1586fe,https://canary.contestimg.wish.com/api/webimage/5ffbf93e2620f02a1a1586fe-medium.jpg,5ffbf93e2620f02a1a1586fe
"RDX Skipping Rope Weighted, Non Slip Aluminum Handles 10.3FT Tangle-Free PVC Coated 2 Steel Jump Cables 360 Dual Ball Bearing Fitness Exercise Weight Loss Yoga Boxing MMA Home Gym Workout","RDX Skipping Rope Weighted, Non Slip Aluminum Handles 10.3FT Tangle-Free PVC Coated 2 Steel Jump Cables 360 Dual Ball Bearing Fitness Exercise Weight Loss Yoga Boxing MMA Home Gym Workout",30.0,CHF,46.0,CHF,33,9,,,3.5,2.0,0,1,1,0,0,,,,,,,,50,Livraison standard,8.0,false,,50,true,Quantité limitée !,GB,B2Fitness,b2fitness,"96 % avis positifs (11,897 notes)",11897,4.615869546944608,5a0ef362ddda8c16db2693c4,,,https://www.wish.com/c/5fd09cebffbbcc0411afe9f0,https://canary.contestimg.wish.com/api/webimage/5fd09cebffbbcc0411afe9f0-medium.jpg,5fd09cebffbbcc0411afe9f0
Tampax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ea1a2839719ed8249092e79,,5ea1a2839719ed8249092e79
Nouvelle mise à niveau Électronique Massage par impulsion Douleur musculaire Perte de poids Détendre la machine de thérapie,New upgrade Electronics  Pulse Massage Muscle Pain weight loss Relax Therapy Machine ,13.0,CHF,13.0,CHF,14,10,,,2.888888888888889,9.0,2,3,0,0,4,,,,,,,ordinaryversion&4pads,5,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,liuguixiu00,liuguixiu00,"81 % avis positifs (1,268 notes)",1268,3.914826498422713,5acd8adf2fbbdc752e0576cc,,,https://www.wish.com/c/600fb7463c2103ec33d3c152,https://canary.contestimg.wish.com/api/webimage/600fb7463c2103ec33d3c152-medium.jpg,600fb7463c2103ec33d3c152
Bracelet en cristal de diamant en argent sterling 925 pour femmes de style romain en or et argent Bracelet en or rose Perte de poids Bracelet de thérapie magnétique Produits de perte de poids Bijoux de santé minceur,Fashion Roman Style Women's 925 Sterling Silver Crystal Diamond Bracelet Gold and Silver Rose Gold Bracelet Weight Loss Magnetic Therapy Bracelet Weight Loss Products Slimming Health Jewelry,1.0,CHF,1.0,CHF,1,10,,,5.0,0.0,,,,,,,,,,,gold,,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,PlaneImpression,planeimpression,"90 % avis positifs (12,359 notes)",12359,4.2884537583946924,5b2ca7205676c377a7219ab9,,,https://www.wish.com/c/605cd65e997ca4a7cbd98b59,https://canary.contestimg.wish.com/api/webimage/605cd65e997ca4a7cbd98b59-medium.jpg,605cd65e997ca4a7cbd98b59
