title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Nouvelle balance électronique précise de cuisine en acier inoxydable numérique de 10kg / 1g,New 10kg/1g Accurate Electronic Scale Digital Stainless Steel Kitchen Food Scale,17.0,CHF,17.0,CHF,18,10,,,4.204081632653061,49.0,30,9,5,0,5,,,,,,,,50,Livraison standard,5.0,false,,50,,,CN,loamshganag,loamshganag,"90 % avis positifs (1,644 notes)",1644,4.315693430656935,5b7919780b0d5123e76f8859,,,https://www.wish.com/c/5de0d87114cfea799a1a16e5,https://canary.contestimg.wish.com/api/webimage/5de0d87114cfea799a1a16e5-medium.jpg,5de0d87114cfea799a1a16e5
Balance de graisse corporelle Balance de poids électronique intelligente USB Balance de santé numérique de haute précision avec écran LCD Max 180KG,Body Fat Scales Intelligent Electronic Weight Scale USB High Precision Digital BMI Scale Health Scale with LCD Display Max 180KG,33.0,CHF,33.0,CHF,36,8,,,5.0,0.0,,,,,,,,,,,,rancomcolor,50,Livraison standard,10.0,false,,50,true,Quantité limitée !,CN,INSAKURAM,insakuram,"94 % avis positifs (11,128 notes)",11128,4.445812365204889,5a06d4e49fbc5140f2e423f9,,,https://www.wish.com/c/600136b3153dabc64254c04b,https://canary.contestimg.wish.com/api/webimage/600136b3153dabc64254c04b-medium.jpg,600136b3153dabc64254c04b
Mesure de précision d'affichage à cristaux liquides en verre trempé de balance de salle de bain de poids corporel numérique,Digital Body Weight Bathroom Scale Balance Scale Tempered Glass LCD Display Precision Measurements,22.0,CHF,22.0,CHF,24,10,,,5.0,1.0,1,0,0,0,0,,,,,,,,50,Livraison standard,6.0,false,,50,,,CN,shinefalls,shinefalls,"92 % avis positifs (20,260 notes)",20260,4.353158933859822,595f055cdba4dc223de026d1,,,https://www.wish.com/c/5a9a68d3e114ef7ae93e6b69,https://canary.contestimg.wish.com/api/webimage/5a9a68d3e114ef7ae93e6b69-medium.jpg,5a9a68d3e114ef7ae93e6b69
2021 Newest Women Hot Sweat  Body Shaper Sauna Waist Trainer Slimming Pants Weight Loss Fat Burner Sweat Sauna Capris Leggings,2021 Newest Women Hot Sweat  Body Shaper Sauna Waist Trainer Slimming Pants Weight Loss Fat Burner Sweat Sauna Capris Leggings,5.2,CHF,6.0,CHF,5.72,10,,,5.0,1.0,1,0,0,0,0,,,,,,,style1-xs,2,Livraison standard,2.0,false,,50,,,CN,yaronggo,yaronggo,"(4,687 notes)",4687,4.153616385747813,595ce852e81e8a6841abf8b3,,,https://www.wish.com/c/604c5e38948f7d192cbd9a11,https://canary.contestimg.wish.com/api/webimage/604c5e38948f7d192cbd9a11-medium.jpg,604c5e38948f7d192cbd9a11
Fett einfrieren kalt einfrieren Körperfett schlank abnehmen Gewichtsverlust Schönheit Körper umformen Maschine Gürtel Kalttherapie Massagegerät,Fat Freezing Cold Freeze Body Fat Slim Slimming Weight Loss Beauty Body Reshaping Machine Belt Cold Therapy Massager,90.0,CHF,90.0,CHF,98.0,10,,,4.153846153846154,26.0,18,3,0,1,4,,,,,,,normalversion-110vusplug,50,Livraison Express,22.0,true,,50,true,Quantité limitée !,CN,Dazzit,elliott,(635 Bewertungen),635,3.8078740157480313,5da6915be9329707ed37fe32,,,https://www.wish.com/c/5e7c1da9b73dfe1dcf2f20fd,https://canary.contestimg.wish.com/api/webimage/5e7c1da9b73dfe1dcf2f20fd-medium.jpg,5e7c1da9b73dfe1dcf2f20fd
Balance numérique portable 5 kg / 1g balances électroniques LED Balance alimentaire postale mesure du poids cuisine LED balances électroniques,5kg/1g Portable Digital Scale LED Electronic Scales Postal Food Balance Measuring Weight Kitchen LED Electronic Scales,9.0,CHF,19.0,CHF,9,10,,,4.161290322580645,31.0,14,13,1,1,2,,,,,,white,,50,Livraison standard,3.0,false,,50,,,CN,The one e-commerce Limited,theoneecommercelimited,"92 % avis positifs (2,717 notes)",2717,4.388295914611704,54f6b34d73f9e11168d885c1,,,https://www.wish.com/c/5ee1bcf95c33b82a0c71db61,https://canary.contestimg.wish.com/api/webimage/5ee1bcf95c33b82a0c71db61-medium.jpg,5ee1bcf95c33b82a0c71db61
"Magnetische Massage Fitness-Reifen, professionelle Übungsreifen -8 Abschnitt Spleißen Abnehmbare einstellbare Übung Gewichtete Trainingsreifen Ideal für Übung, Gewichtsverlust, Fitness","Magnetic Massage Fitness Hoops,Professional Exercise Hoop -8 Section Splicing Detachable Adjustable Exercise Weighted Training Hoop Great For Exercise, Weight Loss,Fitness",27.0,CHF,27.0,CHF,29,10,,,3.8823529411764706,17.0,7,4,4,1,1,,,,,,,7sections84cm,50,Livraison standard,8.0,false,,50,,,CN,lixiaoyanlongshuai,lixiaoyanlongshuai,91% Positives Feedback (955 Bewertungen),955,4.317277486910995,5aae5afb417cee6d1ed0dbfc,,,https://www.wish.com/c/5ff52b2889044f68be440036,https://canary.contestimg.wish.com/api/webimage/5ff52b2889044f68be440036-medium.jpg,5ff52b2889044f68be440036
Bras robuste Blaster Musculus Biceps Muscle Builder exercice d'entraînement Fitness équipement sangles de levage de poids,Heavy Duty Arm Blaster Musculus Biceps Muscle Builder Training Exercise Fitness Equipment Weight Lifting Straps,23.0,CHF,23.0,CHF,25,10,,,4.75,4.0,3,1,0,0,0,,,,,,grey,standard,18,Livraison standard,7.0,false,,50,,,CN,ice bryony,icebryony,81 % avis positifs (347 notes),347,3.84149855907781,5d5b9ee9273678486616a7e8,,,https://www.wish.com/c/5f1686bb03842132145f4101,https://canary.contestimg.wish.com/api/webimage/5f1686bb03842132145f4101-medium.jpg,5f1686bb03842132145f4101
Nouveau Style Exquis De Mode En Acier Inoxydable Dépoli Soins De Santé Boucles D'oreilles De Perte De Poids Boucles D'oreilles Diamant Perte De Poids Stimulation De La Santé Acupoint Boucles D'oreilles En Pierre Bijoux De Thérapie Magnétique,Exquisite New Style Fashion Frosted Stainless Steel Health Care Weight Loss Earrings Diamond Earrings Weight Loss Health Stimulation Acupoint Stone Earrings Magnetic Therapy Jewelry,2.45,CHF,10.0,CHF,2.7,10,,,3.8333333333333335,12.0,5,3,2,1,1,,,,,,silver,,50,Livraison standard,1,false,,50,,,CN,Colourful Clouds  the store,colourfulcloudsthestore,"90 % avis positifs (1,342 notes)",1342,4.275707898658719,5b49b9bbd5dbc211c0e21450,,,https://www.wish.com/c/5e7dbc5bd22a5b0487d4d5a5,https://canary.contestimg.wish.com/api/webimage/5e7dbc5bd22a5b0487d4d5a5-medium.jpg,5e7dbc5bd22a5b0487d4d5a5
"Mini Digitalwaage 100/200/300 / 500g 0,01 / 0,1g Hochgenaue Hintergrundbeleuchtung E-Tasche für Schmuck Gramm Gewicht für die Küche",Mini Digital Scale 100/200/300/500g 0.01/0.1g High Accuracy Backlight Electric Pocket For Jewelry Gram Weight For Kitchen,7.0,CHF,7.0,CHF,7,1000,,,3.3783783783783785,37.0,17,3,5,1,11,,,,,,,only-20gweights,50,Livraison standard,2.0,false,,50,,,CN,ruijinyiya,ruijinyiya,(228 Bewertungen),228,3.732456140350877,5f8470c65876b319279e0101,,,https://www.wish.com/c/600184e6e6d7e662fafbe050,https://canary.contestimg.wish.com/api/webimage/600184e6e6d7e662fafbe050-medium.jpg,600184e6e6d7e662fafbe050
5sets / 15sets / 30sets / 45 Sets / 60sets / Perte de poids saine Bâton de nombril Quick Slim Patch Pads Detox Feuille adhésive Perte de poids Burning Fat Patch Popular Fitness,5sets /15sets /30sets/45 Sets/60sets/ Healthy Weight Loss Navel Stick Quick Slim Patch Pads Detox Adhesive Sheet Weight Loss Burning Fat Patch Popular Fitness,1.82,CHF,2.0,CHF,2.0,10,,,3.6486486486486487,37.0,20,3,3,3,8,,,,,,,5pcspills&5pcsstickers,50,Livraison standard,1,false,,50,,,IT,Driscollbb,driscollbb,82 % avis positifs (97 notes),97,4.092783505154639,5f7c6cf5fad850119ebfd90e,,,https://www.wish.com/c/5f97a3232c51100045568b71,https://canary.contestimg.wish.com/api/webimage/5f97a3232c51100045568b71-medium.jpg,5f97a3232c51100045568b71
Ultimo stile caldo Medicina tradizionale cinese al 100% Estratti vegetali naturali Dormire Perdita di peso Bastone ombelico Bruciare i grassi Perdita di peso Perdita di peso Cuscinetto dimagrante Foglio di gomma disintossicante Perdita di peso,Latest Hot Style 100% Traditional Chinese Medicine Natural Plant Extracts Sleep Weight Loss Belly Button Stick Fat Burning Weight Loss Weight Loss Slimming Pad Detox Rubber Sheet Weight Loss,1.82,CHF,2.0,CHF,2.0,1000,,,3.652173913043478,46.0,21,7,6,5,7,,,,,,,50pcs,50,Livraison standard,1,false,,50,true,Quantité limitée !,VE,martinsolutionsvariety,martinsolutionsvariety,"86% feedback positivi (1,439 recensioni)",1439,4.09728978457262,5e49bb1a01ba9dc2a031901c,,,https://www.wish.com/c/60229f6f5a660fd0996156fa,https://canary.contestimg.wish.com/api/webimage/60229f6f5a660fd0996156fa-medium.jpg,60229f6f5a660fd0996156fa
1-20 kg Leggings de cheville réglables Équipement d'entraînement Poids de la plaque d'acier Poids du sac de sable Entraînement au poids en cours d'exécution (sac de sable à charge vide et plaque d'acier en option),1-20kg Adjustable Ankle Leggings Training Equipment Steel Plate Weight Sandbag Weight Training Running (empty Load Sandbag and Steel Plate Optional),9.0,CHF,9.0,CHF,9,10,,,2.3333333333333335,6.0,1,0,2,0,3,,,,,,,1pcsteelplates-180g,50,Livraison standard,3.0,false,,50,,,CN,SDYUIGD,sdyuigd,83 % avis positifs (369 notes),369,3.967479674796748,5da28d1bfa39737480e377e4,,,https://www.wish.com/c/5fc9e03d815dae0c6f64d322,https://canary.contestimg.wish.com/api/webimage/5fc9e03d815dae0c6f64d322-medium.jpg,5fc9e03d815dae0c6f64d322
(100) Nuova qualità e alta) Crema dimagrante per la pancia del corpo allo zenzero Anti-cellulite dimagrante bruciagrassi,(100) New quality and high) Ginger Body Belly Slimming Cream Fat Burning Weight Loss Anti-cellulite,2.0,CHF,2.0,CHF,2,1000,,,3.8413793103448275,290.0,134,64,42,12,38,,,,,,,10g,50,Livraison standard,1,false,,50,true,Quantité limitée !,CN,kangyanlidezhanghao,kangyanlidezhanghao,"(4,976 valutazioni)",4976,4.202371382636656,59105b17864e5c4e1bbcb50d,,,https://www.wish.com/c/5fa4b65c8d9a0e003d3a0b8d,https://canary.contestimg.wish.com/api/webimage/5fa4b65c8d9a0e003d3a0b8d-medium.jpg,5fa4b65c8d9a0e003d3a0b8d
2021 Hot Far Infrared  Sauna Blanket Detox Slimming Home Spa Suit Weight Loss Machine,2021 Hot Far Infrared  Sauna Blanket Detox Slimming Home Spa Suit Weight Loss Machine,117.0,CHF,117.0,CHF,128.0,10,,,4.0,3.0,2,0,0,1,0,,,,,,silver,usplug,50,Livraison Express,13.0,true,,50,,,CN,BESTORE01,unsource,"90% Positive Feedback (84,749 ratings)",84749,4.239979232793307,54b7195624db5775f838022d,,,https://www.wish.com/c/5ffe909f00aa6a136547cf16,https://canary.contestimg.wish.com/api/webimage/5ffe909f00aa6a136547cf16-medium.jpg,5ffe909f00aa6a136547cf16
Sweat Sauna Shaper Femmes Hommes Minceur Débardeur De Sport Gilet Perte De Poids Shapewear S-XXXL,Sweat Sauna Shaper Women Men Slimming Sports Tank Top Vest Weight Loss Shapewear S-XXXL,9.0,CHF,9.0,CHF,9,10,,,3.9285714285714284,42.0,20,12,3,1,6,,,,,,,s(women),16,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,liubin,liubin,"89 % avis positifs (35,744 notes)",35744,4.150850492390331,548d54d6653d5155a5c706d8,,,https://www.wish.com/c/5eeb2d91f1a42b199934a38a,https://canary.contestimg.wish.com/api/webimage/5eeb2d91f1a42b199934a38a-medium.jpg,5eeb2d91f1a42b199934a38a
New Women Body Shaping Sauna Pants Waist Trainer Slimming Pants Weight Loss Yoga Pants Leggings,New Women Body Shaping Sauna Pants Waist Trainer Slimming Pants Weight Loss Yoga Pants Leggings,5.26,CHF,46.0,CHF,5.79,10,,,4.7272727272727275,11.0,9,1,1,0,0,,,,,,,short-xs,1,Livraison standard,2.0,false,,50,,,CN,"Catha,Ltd.",stanfordoops,(662 Bewertungen),662,4.332326283987915,5aa48b0e15511a7e49dec054,,,https://www.wish.com/c/604b229eb5909d1cf135b399,https://canary.contestimg.wish.com/api/webimage/604b229eb5909d1cf135b399-medium.jpg,604b229eb5909d1cf135b399
"1.4 m / 1.8 m / 2 m attachement de câble de poulie de bricolage de remise en forme robuste, accessoires de levage de poids d'équipement de gymnastique d'entraînement pour l'épaule de Triceps","1.4m/1.8m/2m Heavy Duty Fitness DIY Pulley Cable Attachment, Workout Gym Fitness Equipment Weight Lifting Accessories for Triceps Shoulder",13.0,CHF,13.0,CHF,14,10,,,5.0,1.0,1,0,0,0,0,,,,,,,1.4m,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,EYOYOGROUP,eyoyogroup,94 % avis positifs (408 notes),408,4.458333333333333,5aa09b4981260b04dbeaf55b,,,https://www.wish.com/c/5f8ab640d2c30a0f3179146f,https://canary.contestimg.wish.com/api/webimage/5f8ab640d2c30a0f3179146f-medium.jpg,5f8ab640d2c30a0f3179146f
Pflanzliche ätherische Öle Gesund Abnehmen Erhitzen Fett abnehmen Ätherisches Öl zum Abnehmen für den ganzen Körper 10/20 / 30ML,Plant Essential Oils Healthy Lose Weight Heating Dissolve Fat Slimming Essential Oil for Whole Body 10/20/30ML,3.0,CHF,53.0,CHF,3,10000,,,4.020533880903491,487.0,275,64,73,33,42,,,,,,,10ml,50,Livraison standard,1.0,false,,50,,,CN,Hlego,sworld1,(323 Bewertungen),323,3.845201238390093,5d74be3e1c4dc648f869dc7c,,,https://www.wish.com/c/5fe33001ccba07a3837ba9b6,https://canary.contestimg.wish.com/api/webimage/5fe33001ccba07a3837ba9b6-medium.jpg,5fe33001ccba07a3837ba9b6
Kkmoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5ee20ef7eb31f902cf33bc73,,5ee20ef7eb31f902cf33bc73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f36e7939719edf937e2782c,,5f36e7939719edf937e2782c
NaturalGenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5eedec6690b8a6802f1b74b1,,5eedec6690b8a6802f1b74b1
