title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
2 X véritable plume plume stylo à bille écriture nouveauté cadeau 22 cm rouge mode vintage,2 X Genuine Feather Quill Ballpoint Ball Pen Writing Novelty Gift 22cm Red Vintage Fashion,8.0,CHF,8.0,CHF,8,10,,,4.608695652173913,23.0,17,3,3,0,0,,,,,,darkgreen,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Shanghaipop,wangattacks,"91 % avis positifs (11,036 notes)",11036,4.321221457049655,53d7ac53ff4d6d5c940a75ef,,,https://www.wish.com/c/5652f3eda03eee11c7b5a4c2,https://canary.contestimg.wish.com/api/webimage/5652f3eda03eee11c7b5a4c2-medium.jpg,5652f3eda03eee11c7b5a4c2
Bandai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f118505eb31f9fcb327baf5,,5f118505eb31f9fcb327baf5
Neue 20 Farben Premium Acryl Stifte Markierungsstifte Malstift Schreiben auf Steine Glas,New 20 colors Premium Acrylic Pens Marker Pens Paint Pen Write on Stones Glass,13.0,CHF,13.0,CHF,14,1000,,,4.515702479338843,605.0,435,99,40,10,21,,,,,,,,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,lushanzhenmbu,lushanzhenmbu,"94% Positives Feedback (3,040 Bewertungen)",3040,4.448684210526316,5b74d19588b648167c6af6b9,,,https://www.wish.com/c/5e8c47188810ef1340bc2031,https://canary.contestimg.wish.com/api/webimage/5e8c47188810ef1340bc2031-medium.jpg,5e8c47188810ef1340bc2031
12Pcs Paper Cards DIY Creative Painting Homemade Letter Cards Card Postcards Blank Paper for Drawing Letter Writting,12Pcs Paper Cards DIY Creative Painting Homemade Letter Cards Card Postcards Blank Paper for Drawing Letter Writting,13.0,CHF,13.0,CHF,14,0,,,5.0,0.0,,,,,,,,,,,,15x10cm,50,Livraison standard,4.0,false,,50,,,CN,tisendhay,tisendhay,92 % avis positifs (149 notes),149,4.442953020134228,5f13c6d32831c9bea09363f9,,,https://www.wish.com/c/5f986d625474e4004180f728,https://canary.contestimg.wish.com/api/webimage/5f986d625474e4004180f728-medium.jpg,5f986d625474e4004180f728
3 pièces enfants écriture crayon porte-casserole enfants apprentissage pratique Silicone stylo aide poignée posture dispositif de Correction pour les étudiants,3pcs Children Writing Pencil Pan Holder Kids Learning Practise Silicone Pen Aid Grip Posture Correction Device for Students,5.29,CHF,6.0,CHF,5.82,10,,,4.542857142857143,35.0,24,7,3,1,0,,,,,,,3pcs,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,luanchengshuai,luanchengshuai,91 % avis positifs (542 notes),542,4.31549815498155,584e6ca57d6f334cc0bd04c2,,,https://www.wish.com/c/5d3015eeb6c79178e5ae7f7e,https://canary.contestimg.wish.com/api/webimage/5d3015eeb6c79178e5ae7f7e-medium.jpg,5d3015eeb6c79178e5ae7f7e
1 Stück Zwei-Finger-Griff Silikon Baby Lernen Schreibwerkzeug Schreiben Stift Schreibkorrekturgerät Kinder Studie Lieferungen Geschenk für Kinder,1 Pcs Two Finger Grip Silicone Baby Learn Writing Tool Writing Pen Writing Correction Device Children Study Supplies Gift for Children,2.53,CHF,3.0,CHF,2.7800000000000002,1000,,,4.405701754385965,456.0,299,86,42,15,14,,,,,,pink,,50,Livraison standard,1,false,,50,,,CN,20171219,20171219,"(5,823 Bewertungen)",5823,4.394641937145801,5a387900ddda8c3f1aa27dd4,,,https://www.wish.com/c/5f13d6138808ca01c73acc07,https://canary.contestimg.wish.com/api/webimage/5f13d6138808ca01c73acc07-medium.jpg,5f13d6138808ca01c73acc07
2pcs Chinese Basics 300 Zeichen Han Zi Bücher schreiben Heft lernen chinesische Kinder Erwachsene Anfänger Vorschule Arbeitsbuch,2pcs Chinese Basics 300 characters han zi writing books exercise book learn Chinese kids adults beginners preschool workbook,17.0,CHF,32.0,CHF,18,10,,,4.782608695652174,23.0,18,5,0,0,0,,,,,,,2pcs,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,ZJW00,zjw00,(619 Bewertungen),619,4.5218093699515345,5dc022e9cfe7147fcab6d5cf,,,https://www.wish.com/c/5e845ddee2f7330d2ff7441f,https://canary.contestimg.wish.com/api/webimage/5e845ddee2f7330d2ff7441f-medium.jpg,5e845ddee2f7330d2ff7441f
Industrial Style Computer Desk Laptop Table Home Office Workstation Study Writting Desk ,Industrial Style Computer Desk Laptop Table Home Office Workstation Study Writting Desk ,113.0,CHF,113.0,CHF,124.0,0,,,5.0,0.0,,,,,,,,,,,,,1,Livraison standard,12.0,false,,1,,,CN,Fengnalia,fengnalia,"87 % avis positifs (3,388 notes)",3388,4.167060212514758,5ca9ac8ca6ab651cee25c8de,,,https://www.wish.com/c/6011465b7ca39b6be8b2e74d,https://canary.contestimg.wish.com/api/webimage/6011465b7ca39b6be8b2e74d-medium.jpg,6011465b7ca39b6be8b2e74d
4x Spritzenstifte Neuheit Flüssige Spritze Kugelschreiber Doktor Nurse Medical Hospital Fun Gift,4x Syringe Pens Novelty Liquid Syringe Ballpoint Pen Doctor Nurse Medical Hospital Fun Gift,5.0,CHF,5.0,CHF,5,20000,,,4.52641291810842,4335.0,3155,641,318,108,113,,,,,,,,50,Livraison standard,2.0,false,,50,,,CN,Dream Life,dreamlife,"92% Positives Feedback (73,678 Bewertungen)",73678,4.320027688047992,53be59d3d9113970da2571ef,,,https://www.wish.com/c/53ff25369020ee2b4ceb8efe,https://canary.contestimg.wish.com/api/webimage/53ff25369020ee2b4ceb8efe-medium.jpg,53ff25369020ee2b4ceb8efe
Nice Quality Brand Metal Ink Fountain Pen Office Executive Business Men Dragon Crystal Diomand Writting Pen Buy 2 Pens Send Gift,Nice Quality Brand Metal Ink Fountain Pen Office Executive Business Men Dragon Crystal Diomand Writting Pen Buy 2 Pens Send Gift,3.47,CHF,50.0,CHF,3.8200000000000003,3,,,5.0,0.0,,,,,,,,,,,blue,10pcsinkcartridges,50,Livraison standard,1.0,false,,50,,,CN,ZhouAiXi,zhouaixi,91 % avis positifs (711 notes),711,4.331926863572433,5efd423ad2195e0bbb91d539,,,https://www.wish.com/c/5f1bdef585591b045242dda1,https://canary.contestimg.wish.com/api/webimage/5f1bdef585591b045242dda1-medium.jpg,5f1bdef585591b045242dda1
