title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Driver Reflective Magnetic Sign Decal Zone Tech Car Please Be Patient Student ,Driver Reflective Magnetic Sign Decal Zone Tech Car Please Be Patient Student ,5.15,CHF,16.0,CHF,5.67,10,,,3.0,4.0,2,0,0,0,2,,,,,,yellow,0,50,Livraison standard,2.0,false,,50,,,CN,Lacus,lacus,"93 % avis positifs (7,603 notes)",7603,4.394975667499671,5783a12488eb7a10101c5dcd,,,https://www.wish.com/c/59f9c11cfb04de6dc77e8f3a,https://canary.contestimg.wish.com/api/webimage/59f9c11cfb04de6dc77e8f3a-medium.jpg,59f9c11cfb04de6dc77e8f3a
BASEBALL ZONE Signe de croisement de nouveauté drôle Sticker,BASEBALL ZONE Funny Novelty Crossing Sign Sticker,5.17,CHF,6.0,CHF,5.6899999999999995,10,,,3.6666666666666665,3.0,2,0,0,0,1,,,,,,yellow,,50,Livraison standard,2.0,false,,50,,,CN,bbshop2017,bbshop2017,"93 % avis positifs (2,819 notes)",2819,4.401206101454417,58cbf68211f436506be9a3d2,,,https://www.wish.com/c/5d0243e6fa1e1a476cb5cf11,https://canary.contestimg.wish.com/api/webimage/5d0243e6fa1e1a476cb5cf11-medium.jpg,5d0243e6fa1e1a476cb5cf11
47 Brand Low Profile Cap - ZONE Pittsburgh Pirates black,47 Brand Low Profile Cap - ZONE Pittsburgh Pirates black,35.0,CHF,35.0,CHF,38,0,,,5.0,0.0,,,,,,,,,,,black,,11,Livraison standard,11.0,false,,11,,,DE,ICED_OUT,iced_out,"94 % avis positifs (2,374 notes)",2374,4.530328559393428,5aa0225570cf695985ba604f,,,https://www.wish.com/c/6077cc413960dae986cf72a4,https://canary.contestimg.wish.com/api/webimage/6077cc413960dae986cf72a4-medium.jpg,6077cc413960dae986cf72a4
Besiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f9bf2b7271d190010ac346e,,5f9bf2b7271d190010ac346e
"Kurzarm-Strampler für Jungen im 2er-Pack - Dragon Ball Z, einteilig, Naruto, Goku, Vegeta","Baby Boys' 2 Pack Short Sleeve Romper - Dragon Ball Z,One Piece,Naruto,Goku,Vegeta",19.0,CHF,36.0,CHF,20,10,,,4.626168224299065,214.0,164,33,10,1,6,,,,,,orange&blue,0-3m,42,Livraison standard,6.0,false,,50,,,CN,gongxinxin,gongxinxin,"96% Positives Feedback (1,227 Bewertungen)",1227,4.572942135289323,5a791e5218d9211d579b0cad,,,https://www.wish.com/c/5cda1fcff8a3a422d69ecfae,https://canary.contestimg.wish.com/api/webimage/5cda1fcff8a3a422d69ecfae-medium.jpg,5cda1fcff8a3a422d69ecfae
Nid de fourmis en tube de verre Mini nid de fourmis avec zone active de fourmis en acrylique KHG,Ant Nest Glass Tube Mini Ant Nest with Active Zone Insect House Acrylic Ant Farm KHG,8.0,CHF,27.0,CHF,8,10,,,4.0,2.0,1,0,1,0,0,,,,,,,1,50,Livraison standard,2.0,false,,50,,,CN,KHG Scarborough fair,khgscarboroughfair,"92 % avis positifs (4,828 notes)",4828,4.305923777961889,58ec6e3dbef1c3463946472e,,,https://www.wish.com/c/5cff157ed8ba6979653ff790,https://canary.contestimg.wish.com/api/webimage/5cff157ed8ba6979653ff790-medium.jpg,5cff157ed8ba6979653ff790
Shark Zone No Rules Beach Surfer Gift Idea Funny A  Short-Sleeve Unisex T-Shirt,Shark Zone No Rules Beach Surfer Gift Idea Funny A  Short-Sleeve Unisex T-Shirt,25.0,CHF,25.0,CHF,27,0,,,5.0,0.0,,,,,,,,,,,black,s,50,Livraison Express,8.0,true,,50,,,VN,Sweetmelt,sweetmelt,100 % avis positifs (1 notes),1,5.0,5f65de12aecfa3beb31a6a27,,,https://www.wish.com/c/5f93ce43edc6f20ab86b1428,https://canary.contestimg.wish.com/api/webimage/5f93ce43edc6f20ab86b1428-medium.jpg,5f93ce43edc6f20ab86b1428
50 Stück Bambus Pflanzenetiketten Gartenmarkierungen T-Typ Pflanzen Tags,50pcs Bamboo Plant Labels Garden Markers T-Type Plant Tags,10.0,CHF,55.0,CHF,11,10,,,4.5777777777777775,45.0,37,2,3,1,2,,,,,,,,50,Livraison standard,2.0,false,,50,true,Quantité limitée !,CN,Fourmonsoon,fourmonsoon,"(2,870 Bewertungen)",2870,4.195470383275262,59410690f5978a3bf7900de0,,,https://www.wish.com/c/5d17243c4b5ac25806b0cb2c,https://canary.contestimg.wish.com/api/webimage/5d17243c4b5ac25806b0cb2c-medium.jpg,5d17243c4b5ac25806b0cb2c
4 PCS/set Marine style cotton twill cloth /4 kind pattern Pre Cut Charm manual DIY cloth/ creative small cloth/ patchwork fabric art/ sewing fabric / decorative fabric art(size 40cmX50cm),4 PCS/set Marine style cotton twill cloth /4 kind pattern Pre Cut Charm manual DIY cloth/ creative small cloth/ patchwork fabric art/ sewing fabric / decorative fabric art(size 40cmX50cm),6.0,CHF,37.0,CHF,6,1000,,,4.4726256983240225,895.0,617,164,63,22,29,,,,,,multicolor,40cmby50cm,50,Livraison standard,2.0,false,,50,,,CN,DIY Zone,diyzone,"95% Positive Feedback (18,272 ratings)",18272,4.507333625218914,58a1be3bc7751e4f690f53d8,,,https://www.wish.com/c/58d51e4d7d99b05724a0758a,https://canary.contestimg.wish.com/api/webimage/58d51e4d7d99b05724a0758a-medium.jpg,58d51e4d7d99b05724a0758a
2020 nouvelle lumière UV Mini désinfectant baguette de voyage lumière UV sans produits chimiques pour hôtel ménage garde-robe toilette voiture zone pour animaux de compagnie,2020 New UV Light Mini Sanitizer Travel Wand UV Light Without Chemicals for Hotel Household Wardrobe Toilet Car Pet Area,10.0,CHF,10.0,CHF,11,10,,,3.7758620689655173,58.0,27,12,6,5,8,,,,,,,limitedpromotion,5,Livraison standard,3.0,false,,10,,,CN,liaodesong123,liaodesong123,81 % avis positifs (959 notes),959,3.86444212721585,5d4d2e29838897589ee6b944,,,https://www.wish.com/c/5efc06859d5eea214bfd0a21,https://canary.contestimg.wish.com/api/webimage/5efc06859d5eea214bfd0a21-medium.jpg,5efc06859d5eea214bfd0a21
